Time,Actual,Predicted
761,0.9999802608561372,0.663827121257782
762,1.0,0.6611833572387695
763,0.9999802608561372,0.6595024466514587
764,0.999921044203816,0.6682093739509583
765,0.999822352380809,0.6912299394607544
766,0.9996841892833,0.6680123209953308
767,0.9995065603657315,0.6808328628540039
768,0.9992894726405891,0.6680871844291687
769,0.9990329346781248,0.6779400110244751
770,0.9987369566060174,0.6787071824073792
771,0.998401550108975,0.6831499338150024
772,0.9980267284282711,0.6930381655693054
773,0.9976125063612252,0.6779330372810364
774,0.9971589002606138,0.6912375092506409
775,0.9966659280340299,0.6935397982597351
776,0.9961336091431724,0.7025441527366638
777,0.9955619646030794,0.7019928693771362
778,0.9949510169812998,0.6990814805030823
779,0.9943007903969984,0.6815395355224609
780,0.9936113105200084,0.7099447846412659
781,0.9928826045698133,0.7051113247871399
782,0.992114701314478,0.7064123153686523
783,0.9913076310695065,0.7269687056541443
784,0.9904614256966513,0.6974694132804871
785,0.9895761186026508,0.7328841090202332
786,0.9886517447379133,0.7214972376823425
787,0.9876883405951375,0.7213178277015686
788,0.9866859442078676,0.725405752658844
789,0.9856445951489982,0.7473679780960083
790,0.9845643345292049,0.7262129187583923
791,0.9834452049953298,0.7359476685523987
792,0.9822872507286884,0.7312142848968506
793,0.9810905174433344,0.7429012656211853
794,0.9798550523842464,0.7495864033699036
795,0.9785809043254712,0.7356929779052734
796,0.9772681235681934,0.7386167645454407
797,0.9759167619387464,0.7542974352836609
798,0.9745268727865772,0.7382787466049194
799,0.973098510982126,0.760994017124176
800,0.9716317329146742,0.752815842628479
801,0.9701265964901052,0.7615126371383667
802,0.9685831611286316,0.7470778226852417
803,0.9670014877624348,0.7512694001197815
804,0.9653816388332728,0.7607241272926331
805,0.9637236782900096,0.767180860042572
806,0.9620276715860848,0.7594332695007324
807,0.9602936856769432,0.7402240633964539
808,0.9585217890173753,0.4926568567752838
809,0.9567120515588308,0.5017296671867371
810,0.9548645447466424,0.508381187915802
811,0.9529793415172192,0.5219382047653198
812,0.9510565162951532,0.5109225511550903
813,0.9490961449902932,0.5289114117622375
814,0.947098304994744,0.5334491729736328
815,0.9450630751798037,0.5333986282348633
816,0.9429905358928644,0.5551502108573914
817,0.9408807689542243,0.5566755533218384
818,0.9387338576538744,0.5355439186096191
819,0.9365498867481916,0.5533612966537476
820,0.9343289424566126,0.5368287563323975
821,0.9320711124582104,0.5672094225883484
822,0.9297764858882522,0.5561537742614746
823,0.927445153334661,0.5614494681358337
824,0.9250772068344565,0.5819357633590698
825,0.9226727398701148,0.5780649185180664
826,0.9202318473658692,0.5619692206382751
827,0.9177546256839816,0.5777455568313599
828,0.9152411726209166,0.5832481384277344
829,0.9126915874035033,0.5831257700920105
830,0.910105970684995,0.581960916519165
831,0.9074844245411179,0.5881417989730835
832,0.9048270524660191,0.6070473790168762
833,0.9021339593682012,0.6078510880470276
834,0.8994052515663712,0.5841434001922607
835,0.8966410367852344,0.6028546094894409
836,0.8938414241512641,0.5883714556694031
837,0.8910065241883668,0.5904226303100586
838,0.8881364488135453,0.6189779043197632
839,0.8852313113324545,0.6198176145553589
840,0.8822912264349544,0.6194950938224792
841,0.8793163101905559,0.6238553524017334
842,0.8763066800438617,0.6099157929420471
843,0.87326245480992,0.6173534393310547
844,0.870183754669524,0.6329183578491211
845,0.8670707011644904,0.6269227266311646
846,0.863923417192834,0.6404955387115479
847,0.8607420270039445,0.6369654536247253
848,0.8575266561936513,0.642253577709198
849,0.8542774316992965,0.6263782978057861
850,0.8509944817946914,0.6388400197029114
851,0.8476779360850812,0.6391921639442444
852,0.8443279255020152,0.6350067257881165
853,0.8409445822981674,0.6472659111022949
854,0.8375280400421421,0.6551247835159302
855,0.8340784336131698,0.6402984261512756
856,0.8305958991958134,0.664286732673645
857,0.8270805742745608,0.6653731465339661
858,0.8235325976284286,0.664539635181427
859,0.8199521093254518,0.6621510982513428
860,0.8163392507171816,0.6697291135787964
861,0.8126941644330938,0.6923104524612427
862,0.8090169943749456,0.6706835627555847
863,0.8053078857111223,0.6827749013900757
864,0.8015669848708751,0.6708396673202515
865,0.7977944395385719,0.6807990670204163
866,0.7939903986478342,0.6808104515075684
867,0.7901550123756917,0.685226321220398
868,0.7862884321366184,0.6947400569915771
869,0.7823908105765855,0.6802466511726379
870,0.7784623015670233,0.6949579119682312
871,0.7745030601987317,0.6957046389579773
872,0.7705132427757896,0.7056469917297363
873,0.7664930068093482,0.7049211859703064
874,0.7624425110114488,0.7015772461891174
875,0.7583619152887207,0.6837132573127747
876,0.7542513807361052,0.7124977111816406
877,0.7501110696304589,0.7063012719154358
878,0.7459411454241794,0.7085831165313721
879,0.741741772738739,0.7291868329048157
880,0.7375131173581716,0.6997464299201965
881,0.7332553462225603,0.7349305748939514
882,0.7289686274214097,0.7236436009407043
883,0.7246531301870475,0.722934365272522
884,0.7203090248879056,0.7285179495811462
885,0.7159364830218325,0.7505764961242676
886,0.7115356772092848,0.7285358309745789
887,0.7071067811865446,0.7390785217285156
888,0.7026499697988491,0.7342855930328369
889,0.6981654189934703,0.7444615960121155
890,0.6936533058128054,0.7522695660591125
891,0.6891138083873466,0.7384032607078552
892,0.6845471059286896,0.7418164610862732
893,0.6799533787224179,0.7570122480392456
894,0.675332808121026,0.7414566874504089
895,0.6706855765367192,0.7635095119476318
896,0.6660118674342485,0.7561120986938477
897,0.6613118653236517,0.7638393044471741
898,0.6565857557529539,0.7497181296348572
899,0.6518337253008791,0.7551212906837463
900,0.6470559615694423,0.7629667520523071
901,0.6422526531765854,0.7706018090248108
902,0.6374239897486883,0.7619249820709229
903,0.6325701619131261,0.7429448366165161
904,0.6276913612906997,0.49328410625457764
905,0.6227877804881092,0.502435028553009
906,0.6178596130903341,0.5088028311729431
907,0.6129070536529738,0.5233331918716431
908,0.6079302976946058,0.5120168328285217
909,0.6029295416890226,0.5294641256332397
910,0.5979049830575199,0.533460259437561
911,0.5928568201610577,0.5333038568496704
912,0.5877852522924748,0.555627703666687
913,0.5826904796685751,0.5574323534965515
914,0.5775727034222641,0.5362873077392578
915,0.5724321255945907,0.5546929836273193
916,0.5672689491267536,0.5373268723487854
917,0.562083377852131,0.5680161714553833
918,0.5568756164881857,0.5566790103912354
919,0.5516458706284313,0.5612782835960388
